id,reason
0700918a-1719-430b-8950-2feb5b76bd44,no_nb06_record
07056b22-91b8-451d-8f1e-aac43a344e4b,no_nb06_record
07058618-9949-43fe-bffa-f6875c3907ec,no_nb06_record
07116fb5-cb89-4e9b-b807-0ccda61337f4,no_nb06_record
07177a76-03f2-4653-a6a6-669881a1feef,no_nb06_record
071e7629-ca3c-4709-a1f4-03bc9152ad6f,no_nb06_record
072259de-a53f-40ac-acdf-756a9ea21546,no_nb06_record
072293bc-b5e8-4bb4-aad2-a2eec42377ac,no_nb06_record
072d02a8-9f3e-4e48-b319-83b891ea0954,standalone_vl_invalid(vulnerability)
072d96a2-e7b4-4237-9463-3bcc342a1efd,no_nb06_record
072fe872-edaf-42d6-b9cd-204b10934049,no_nb06_record
07313c29-9960-478a-a4f5-2dc7a894c9fc,no_nb06_record
0738ae19-f7cd-4398-a682-2ce4ab66ce39,no_nb06_record
0740b67a-42a8-437e-9c2c-d6aaf3e3fd19,no_nb06_record
07410157-2f70-468d-833c-6c0935ccbc4b,no_nb06_record
07410f06-b437-40b7-b86b-43ef80d9f508,no_nb06_record
074c87b2-d6af-4c95-82aa-1f85653f8fc8,no_nb06_record
074d3fca-31a2-4136-ae56-23947100aead,no_nb06_record
074e957c-eece-4109-945c-73eea8afddf4,no_nb06_record
0769c557-427c-4368-a4e2-d68810a18c30,standalone_vl_invalid(loss)
07770e8b-da93-4358-8bce-1cf9a06153d4,no_nb06_record
0782e442-aa98-42d5-9093-6ae78dfed35c,no_nb06_record
078349cb-57dd-4813-91c6-0d20c37af7ea,no_nb06_record
079a8ca2-fcb7-4e84-a0e9-7327e3d74d44,no_nb06_record
07a6d6fb-828d-4391-afb8-78b1fc32caa3,no_nb06_record
07aa234f-eb4b-4462-9e75-1b51306a23fe,no_nb06_record
07aca0ec-fb15-48ec-af46-08cc6b81f5ae,no_nb06_record
07cd1604-9770-4adc-bce1-69aaab60f990,no_nb06_record
07d28086-10ad-4ca9-871f-eafd6a339ea6,no_nb06_record
07d40714-c34f-4871-9e17-c32c92674984,no_nb06_record
07d60c43-a868-43fd-8195-80b009f2b922,no_nb06_record
07d89486-3daf-408a-a410-563030b0ebbe,no_nb06_record
07db728a-4f0f-4e98-8eb0-8fa9df61f01c,no_nb06_record
07dbb4d1-76af-4d86-844b-130bf88db476,no_nb06_record
07dd5af8-3277-43af-87bf-3ca86348fcb0,no_nb06_record
07e1cd8c-ced7-4b1d-9759-663fbf7d21b3,no_nb06_record
07e79238-eeee-4a22-a78e-4a86dd9a5f40,no_nb06_record
07f23ba4-76aa-404a-9401-65318f248034,no_nb06_record
07f4456e-a8db-4806-a07e-0120af66a4a9,no_nb06_record
07f4ec78-42c7-4606-ae62-4f1bff918c45,no_nb06_record
07f71db8-6089-400f-aaa1-64eb011e7943,no_nb06_record
07fc5936-1556-445d-a8cd-741dbc224f4b,no_nb06_record
080271db-8e7e-4e40-81c5-f9f6db084026,no_nb06_record
0804898c-7b83-4ffd-b8a9-72fe9ea7900e,no_nb06_record
080a9536-3578-40b1-982d-310d4df35164,no_nb06_record
080b3334-9693-4322-a5a2-509006a190b0,no_nb06_record
080ee2cd-18cc-4469-afe2-406ab58ecd55,no_nb06_record
081557ff-3cb9-4ee1-a018-d7f88d36d44c,no_nb06_record
081b19db-7ed5-4ef9-9ced-fe2b33cc3022,no_nb06_record
0820e8a0-2b46-4e82-bd1a-2f85800f4d58,no_nb06_record
082de50e-0c4d-49f1-a804-305ddb39c50b,no_nb06_record
0844a0a3-e076-404e-bfbe-b04cae1f7ed1,no_nb06_record
08480bd2-b5fb-4281-8365-013c899f294c,standalone_vl_invalid(vulnerability)
084b8ac7-b459-4f44-807a-978a97639aa4,no_nb06_record
08558693-6f3e-4a0e-bc07-6d514190e416,no_nb06_record
08570719-dabe-43f5-a092-ce6f61b88697,no_nb06_record
085b7a8b-d680-406b-82d4-e392ec43122f,no_nb06_record
086162d6-7ad7-447d-83cc-1535201aa584,no_nb06_record
0865eb18-ce28-439b-b6ff-5dfc472ef627,no_nb06_record
086b8b2c-219e-48bd-adb6-c775f789bbce,no_nb06_record
086c6237-578d-4a4f-80ec-692b1b165dae,no_nb06_record
087c10a3-6831-41d9-889d-cc86905c785a,no_nb06_record
